id,name,qualification,region_or_area,approval,source_id
GUI-001,BAOUTCHI ZRA Victor,National Tourism Guide,Extreme-Nord,Approved 01 Nov 2022,SRC-004
GUI-002,NOUBICIER MANIKHEU Loraine,National Tourism Guide,"Bamboutos / Mifi, West",Approved 26 Apr 2021,SRC-004
GUI-003,DOMOU BERGELINE,National Tourism Guide,Centre / Yaoundé,Approved 05 Dec 2008,SRC-004
GUI-004,DELI VICTOR,National Tourism Guide,Centre / Yaoundé,Approved 17 May 2018,SRC-004
GUI-005,WONGEH CALISTUS WIRKIKWEA,National Tourism Guide,Centre / Yaoundé,Approved 30 Nov 2024,SRC-004
GUI-006,NGASSA Claude,National Tourism Guide,"Mifi / West, Bafoussam",Approved 26 Jun 2019,SRC-004
GUI-007,NGAH,National Tourism Guide,Centre / Yaoundé,Approved 03 May 2024,SRC-004
GUI-008,COLTRAS Serge Patrick,National Tourism Guide,Centre / Yaoundé,Approved 03 May 2024,SRC-004
GUI-009,Daniel Patrick Dongzang Hamstron,National Tourism Guide,"Océan / South, Kribi",Approved 16 Oct 2023,SRC-004
GUI-010,MEBAH MARKDONALD NKWAMBI,National Tourism Guide,Littoral / Douala,Approved 11 Sep 2020,SRC-004
GUI-011,HAMAN DAHIROU,Regional Tourism Guide (English),Extreme-Nord / Maroua,Approved 22 Oct 2021,SRC-004
GUI-012,Adama Mirabelle,Regional Tourism Guide,Adamaoua / Ngaoundéré,Approved N°368/A/MINTOUR/SG/DET/SDAC/SA,SRC-024
GUI-013,Jean Oscar NGUILI,National Tourism Guide (East),Centre / Yaoundé,"Approved N°0982/A/MINTOUL/SG/DET/SDAC/SA, 5 Apr 2012",SRC-024
GUI-014,ABOUBAKAR ABDOURASSOULOU,National Tourism Guide,Centre / Yaoundé,"Approved N°288/A/SG/DET/SDAC/SA, 24 Aug 2007",SRC-024
