id,name,city,context,source_id
HIST-HOT-001,HOTEL KRYSTAL PALACE,Douala,CAN 2021 selected hotel list,SRC-017
HIST-HOT-002,HOTEL ONOMO,Douala,CAN 2021 selected hotel list,SRC-017
HIST-HOT-003,HOTEL STARLAND,Douala,CAN 2021 selected hotel list,SRC-017
HIST-HOT-004,HOTEL IBIS,Douala,CAN 2021 selected hotel list,SRC-017
HIST-HOT-005,WDC APART HOTEL,Limbe/Buea,CAN 2021 selected hotel list,SRC-017
HIST-HOT-006,MOUNTAIN HOTEL,Limbe/Buea,CAN 2021 selected hotel list,SRC-017
HIST-HOT-007,FINI HOTEL,Limbe/Buea,CAN 2021 selected hotel list,SRC-017
HIST-HOT-008,ATLANTIC BEACH HOTEL,Limbe/Buea,CAN 2021 selected hotel list,SRC-017
HIST-HOT-009,HOTEL ZINGANA,Bafoussam,CAN 2021 selected hotel list,SRC-017
HIST-HOT-010,HOTEL TAGIDOR GARDEN,Bafoussam,CAN 2021 selected hotel list,SRC-017
HIST-HOT-011,HOTEL LA VALLEE DE BANA,Bafoussam,CAN 2021 selected hotel list,SRC-017
