id,title,publisher,type,url,action
DOC-001,La loi régissant l’activité touristique et de Loisirs au Cameroun,MINTOUL,Legal framework,https://mintoul.gov.cm/documentation/,download from official page
DOC-002,Hotel card 2017-2020,MINTOUL,Hotel reference,https://mintoul.gov.cm/documentation/,download from official page
DOC-003,Carte hôtelière 2017-2020,MINTOUL,Hotel reference,https://mintoul.gov.cm/documentation/,download from official page
DOC-004,MAGAZINE CAMEROON DESTINATION,MINTOUL,Tourism publication,https://mintoul.gov.cm/documentation/,download from official page
DOC-005,Construction / extension / transformation établissement de tourisme,MINTOUL,Administrative procedure,https://mintoul.gov.cm/documentation/,download from official page
DOC-006,"Ouverture Hôtel, Restaurant et établissement de loisirs",MINTOUL,Administrative procedure,https://mintoul.gov.cm/documentation/,download from official page
DOC-007,Ouverture Agence de Tourisme,MINTOUL,Administrative procedure,https://mintoul.gov.cm/documentation/,download from official page
DOC-008,Demande d’agrément de Guide de Tourisme,MINTOUL,Guide accreditation,https://mintoul.gov.cm/documentation/,download from official page
DOC-009,Décision n°0193/MINTUL du 19 Décembre 2022,MINTOUL,Fees / authorization framework,https://mintoul.gov.cm/wp-content/uploads/2023/09/ouverture-succursale.pdf,download
DOC-010,Tentative Lists submitted by States Parties as of 15 April 2026,UNESCO,Heritage reference,https://whc.unesco.org/en/documents/226485,download
