id,name,status,category,location,inscription_or_submission_year,source,source_url,verification_status
CM-WH-001,Dja Faunal Reserve,World Heritage,Natural,South/East Cameroon,1987,UNESCO,https://whc.unesco.org/en/list/407,verified
CM-WH-002,Sangha Trinational,World Heritage,Natural,East Cameroon / Congo Basin,2012,UNESCO,https://whc.unesco.org/en/list/1380,verified
CM-WH-003,Diy-Gid-Biy Cultural Landscape of the Mandara Mountains,World Heritage,Cultural,Far North Cameroon,2025,UNESCO,https://whc.unesco.org/en/list/1745,verified
CM-TL-001,Complexe des Parcs Nationaux de Boumba Bek et de Nki,UNESCO Tentative List,,Cameroon,,UNESCO,https://whc.unesco.org/en/tentativelists/action%3Dlisttentative%26order%3Dstates%26state%3Dcm,verified
CM-TL-002,Parc National de Bouba Ndjidda,UNESCO Tentative List,,Cameroon,,UNESCO,https://whc.unesco.org/en/tentativelists/action%3Dlisttentative%26order%3Dstates%26state%3Dcm,verified
CM-TL-003,Parc National de Campo-Ma'an,UNESCO Tentative List,,Cameroon,,UNESCO,https://whc.unesco.org/en/tentativelists/action%3Dlisttentative%26order%3Dstates%26state%3Dcm,verified
CM-TL-004,Parc National de Waza,UNESCO Tentative List,,Cameroon,,UNESCO,https://whc.unesco.org/en/tentativelists/action%3Dlisttentative%26order%3Dstates%26state%3Dcm,verified
CM-TL-005,Chefferie de Bafut,UNESCO Tentative List,,Cameroon,,UNESCO,https://whc.unesco.org/en/tentativelists/action%3Dlisttentative%26order%3Dstates%26state%3Dcm,verified
CM-TL-006,Tour de Goto Goulfey,UNESCO Tentative List,,Cameroon,,UNESCO,https://whc.unesco.org/en/tentativelists/action%3Dlisttentative%26order%3Dstates%26state%3Dcm,verified
CM-TL-007,Gravures rupestres de Bidzar,UNESCO Tentative List,,Cameroon,,UNESCO,https://whc.unesco.org/en/tentativelists/action%3Dlisttentative%26order%3Dstates%26state%3Dcm,verified
CM-TL-008,Mégalithes de Djohong,UNESCO Tentative List,,Cameroon,,UNESCO,https://whc.unesco.org/en/tentativelists/action%3Dlisttentative%26order%3Dstates%26state%3Dcm,verified
CM-TL-009,Mégalithes de Saa,UNESCO Tentative List,,Cameroon,,UNESCO,https://whc.unesco.org/en/tentativelists/action%3Dlisttentative%26order%3Dstates%26state%3Dcm,verified
CM-TL-010,Tunnels ferroviaires de Njock,UNESCO Tentative List,,Cameroon,,UNESCO,https://whc.unesco.org/en/tentativelists/action%3Dlisttentative%26order%3Dstates%26state%3Dcm,verified
CM-TL-011,Lamidat de Rey-Bouba,UNESCO Tentative List,,Cameroon,,UNESCO,https://whc.unesco.org/en/tentativelists/action%3Dlisttentative%26order%3Dstates%26state%3Dcm,verified
CM-TL-012,Paysage culturel des chutes de la Lobé,UNESCO Tentative List,,Cameroon,,UNESCO,https://whc.unesco.org/en/tentativelists/action%3Dlisttentative%26order%3Dstates%26state%3Dcm,verified
CM-TL-013,Site archéologique de Shum Laka,UNESCO Tentative List,,Cameroon,,UNESCO,https://whc.unesco.org/en/tentativelists/action%3Dlisttentative%26order%3Dstates%26state%3Dcm,verified
CM-TL-014,Grande Case dans la Chefferie traditionnelle des Grassfields,UNESCO Tentative List,,Cameroon,,UNESCO,https://whc.unesco.org/en/tentativelists/action%3Dlisttentative%26order%3Dstates%26state%3Dcm,verified
CM-TL-015,Paysage culturel du Lac Tchad,UNESCO Tentative List,,Cameroon,,UNESCO,https://whc.unesco.org/en/tentativelists/action%3Dlisttentative%26order%3Dstates%26state%3Dcm,verified
CM-TL-016,Cross River-Korup-Takamanda (CRIKOT),UNESCO Tentative List,,Cameroon,,UNESCO,https://whc.unesco.org/en/tentativelists/action%3Dlisttentative%26order%3Dstates%26state%3Dcm,verified
CM-TL-017,Bimbia et ses sites associés,UNESCO Tentative List,,Cameroon,,UNESCO,https://whc.unesco.org/en/tentativelists/action%3Dlisttentative%26order%3Dstates%26state%3Dcm,verified
