id,event,location,period,details,source_id
EV-001,Journée Mondiale du Tourisme (JMT),National,September,MINTOUL festival/event page,SRC-005
EV-002,Foire Internationale de Douala pour le Développement (FIDD),Douala,February–March,Tourism participation listed by MINTOUL,SRC-005
EV-003,Salon International de l’Agro-alimentaire de Yaoundé,Yaoundé,June–July,Tourism participation listed by MINTOUL,SRC-005
EV-004,Salon International de l’Artisanat du Cameroun,Yaoundé,November–December,Tourism participation listed by MINTOUL,SRC-005
EV-005,Festival Culturel et Tradition NGUMA MABI,Kribi,December,Tourism participation listed by MINTOUL,SRC-005
EV-006,PROMOTE,Yaoundé,April,Tourism participation listed by MINTOUL,SRC-005
EV-007,Salon Eco loisirs et Activités Culturelles,Dschang,June–July,Tourism participation listed by MINTOUL,SRC-005
EV-008,Course de l'Espoir,Cameroon / Mount Cameroon,February,MINTOUL identifies the annual Mount Cameroon ascent/Course de l'Espoir as a major tourism/sports event.,SRC-014
EV-009,Festival NGOUON,Foumban,December,Tourism participation listed by MINTOUL,SRC-005
EV-010,Festival Ngondo,Douala,March,Tourism participation listed by MINTOUL,SRC-005
EV-011,Festival MAYI,Kribi,March,Tourism participation listed by MINTOUL,SRC-005
EV-012,Festival Mendumba,Bangangté,April,Tourism participation listed by MINTOUL,SRC-005
EV-013,Festival YANG YANG,Bafoussam,March,Tourism participation listed by MINTOUL,SRC-005
EV-014,Festival Mpo’o,Edéa,February,Tourism participation listed by MINTOUL,SRC-005
EV-015,FESTOUR-YAOUNDE,Yaoundé,May,Tourism participation listed by MINTOUL,SRC-005
EV-016,MERCATOUR,Yaoundé,July,Tourism participation listed by MINTOUL,SRC-005
