id,name,city,address_area,category,total_rooms,indicative_starting_tariff,notes,source_id,verification_status
HOT-001,HOTEL HILTON,Yaoundé,Boulevard du 20 mai,5*,273,320 EUR,Indicative starting tariff published by MINTOUL for CM14 2026; verify directly before booking.,SRC-016,current-source-verified
HOT-002,DJEUGA PALACE,Yaoundé,WARDA,4*,163,125 EUR,Indicative starting tariff published by MINTOUL for CM14 2026; verify directly before booking.,SRC-016,current-source-verified
HOT-003,HOTEL LA FALAISE,Yaoundé,WARDA,4*,125,125 EUR,Indicative starting tariff published by MINTOUL for CM14 2026; verify directly before booking.,SRC-016,current-source-verified
HOT-004,HOTEL FRANCO,Yaoundé,NLONGKAK,4*,114,125 EUR,Indicative starting tariff published by MINTOUL for CM14 2026; verify directly before booking.,SRC-016,current-source-verified
HOT-005,BOUN'S HOTEL,Yaoundé,CENTRE COMMERCIAL,4*,23,125 EUR,Indicative starting tariff published by MINTOUL for CM14 2026; verify directly before booking.,SRC-016,current-source-verified
HOT-006,RELAXE PALACE HOTEL,Yaoundé,MEYO à SOA,4*,64,125 EUR,Indicative starting tariff published by MINTOUL for CM14 2026; verify directly before booking.,SRC-016,current-source-verified
HOT-007,HOTEL MERINA (Extension),Yaoundé,CENTRE COMMERCIAL – AVENUE AMADOU AHIDJO,4*,98,125 EUR,Indicative starting tariff published by MINTOUL for CM14 2026; verify directly before booking.,SRC-016,current-source-verified
HOT-008,SUITA HOTEL,Yaoundé,BASTOS,4*,80,125 EUR,Indicative starting tariff published by MINTOUL for CM14 2026; verify directly before booking.,SRC-016,current-source-verified
HOT-009,UNITED INTERNATIONAL HOTEL,Yaoundé,CENTRE COMMERCIAL,4*,96,150 EUR,Indicative starting tariff published by MINTOUL for CM14 2026; verify directly before booking.,SRC-016,current-source-verified
HOT-010,HOTEL JOUVENCE INTERNATIONAL,Yaoundé,FOUDA,4*,55,125 EUR,Indicative starting tariff published by MINTOUL for CM14 2026; verify directly before booking.,SRC-016,current-source-verified
HOT-011,LE LAGON CLUB & AFFAIRES,Yaoundé,BASTOS,4*,25,250 EUR,Indicative starting tariff published by MINTOUL for CM14 2026; verify directly before booking.,SRC-016,current-source-verified
HOT-012,HOTEL FREESIA,Yaoundé,ESSOS,4*,33,150 EUR,Indicative starting tariff published by MINTOUL for CM14 2026; verify directly before booking.,SRC-016,current-source-verified
HOT-013,ALBATROS PRIMIUM HOTEL,Yaoundé,Mvog Mbi,4*,,150 EUR,Indicative starting tariff published by MINTOUL for CM14 2026; verify directly before booking.,SRC-016,current-source-verified
HOT-014,CLUB MULTI-FONCTIONNEL MUNDI,Yaoundé,NTOUN à BIKOK,3*,50,75 EUR,Indicative starting tariff published by MINTOUL for CM14 2026; verify directly before booking.,SRC-016,current-source-verified
