property_name,town,neighborhood,category,room_or_dish,price_fcfa,breakfast,amenities_tags,phone_number,confidence,source_note
Hôtel Ilomba,Kribi,Bwambe (Route des Chutes de la Lobé),Hotel,Boukarou (entry room),40000,N/A,"Pool,Beach,Spa,Restaurant,WiFi,Beach bar",+237 699 91 29 23,VERIFIED_PHONE,Phone/site verified via hotelilomba.com; price range from Petit Futé (not published on official site)
Hôtel Ilomba,Kribi,Bwambe (Route des Chutes de la Lobé),Hotel,Villa/Suite (top tier),175000,N/A,"Pool,Beach,Spa,Restaurant,WiFi,Beach bar",+237 699 91 29 23,UNCONFIRMED_PRICE,Same as above; top-end price unconfirmed on official site
Les Gîtes de Kribi,Kribi,Route des Chutes de la Lobé,Hotel/Gîte,Chambre,35000-48000,Included,"Pool,Jacuzzi,Restaurant,WiFi,Beach",+237 675 08 08 45,VERIFIED_PHONE,Official contact page gitesdekribi.wixsite.com; pricing from Petit Futé
Les Gîtes de Kribi,Kribi,Route des Chutes de la Lobé,Hotel/Gîte,Bungalow,39000-55000,Included,"Pool,Jacuzzi,Restaurant,WiFi,Beach",+237 675 08 08 45,VERIFIED_PHONE,Same source as above
Les Gîtes de Kribi,Kribi,Route des Chutes de la Lobé,Hotel/Gîte,Cabane (treehouse),42000-59000,Included,"Pool,Jacuzzi,Restaurant,WiFi,Beach",+237 675 08 08 45,VERIFIED_PHONE,Same source as above; secondary phone +237 695 98 88 31
Chez Carimo / Lobé Shacks,Kribi,Lobé Beachfront,Restaurant,Giant prawns platter,12000,N/A,"Beachfront,Charcoal grill,Cash only",,UNCONFIRMED_ALL,Informal beach vendor - no findable official contact; dossier estimate kept per instruction
Campo Ma'an National Park,Campo (near Kribi),N/A,Eco-Park,Entry permit (per person + vehicle),5000 + 2000/vehicle,N/A,"Guides ~10000 FCFA extra,Rainforest,Gorillas,Elephants",,VERIFIED_PRICE,Fee cross-confirmed via Wikivoyage + independent guide; no public booking phone - pay at Campo HQ
Musée de Luma (Grand Batanga),Kribi,Luma village,Museum,Entry,1000-2000,N/A,"Private art museum,Coastal,African art",,UNCONFIRMED_ALL,Private founder-run museum - no phone found; dossier estimate kept
Chutes de la Lobé,Kribi,South of Kribi,Natural Site,Entry / pirogue ride,0 / 3000-5000,N/A,"Waterfall,Beach access,Pirogue",,VERIFIED_PRICE,"Free entry, pirogue fee consistently confirmed across sources"
Plage de Kribi (Tara Plage),Kribi,Downtown Kribi,Public Beach,Entry,0,N/A,"Bars,Swimming,Music",,VERIFIED_PRICE,"Free public beach - confirmed, no fee found anywhere"
Limbe Wildlife Centre,Limbe,Downtown Limbe,Primate Sanctuary,Entry (International adult),3000,N/A,"Primates,Conservation,Guided tours",,VERIFIED_PRICE,"Official site limbewildlife.org/visit - also: Cameroonian adult 500, camera fee 2000; contact by email only (info@limbewildlife.org), no phone published"
Limbe Botanic Garden,Limbe,Bota,Ecotourism/Garden,Entry (International),1000-2500,N/A,"Historic garden,Medicinal plants,War graves",,UNCONFIRMED_PRICE,No official govt site found; range from multiple independent travel-guide sources; camera fee +2000
Mount Cameroon National Park (EMICAM),Buea (Upper Farms trailhead),N/A,Mountain Trekking,Permit + admin fee per day,3000 + 2000/day,N/A,"Trekking,Guide ~6000/day/group,Lodges",+237 675 09 97 06,VERIFIED_PHONE,Official site mtcameroonnationalpark.org; phone is for Fako/Mann's Spring lodge bookings; full 2-day guided package via private operators runs 40000-90000/person incl guide+porter; secondary phone +237 680 09 85 08
Bimbia Slave Trade Port,Limbe area,Bimbia coastline,Historical Heritage,Guide tip,2000-4000,N/A,"Colonial history,Heritage site",,UNCONFIRMED_ALL,Community-run heritage site - no formal booking channel found
Down Beach / Batoke Roasted Fish Sheds,Limbe,Down Beach/Batoke,Traditional Dining,Fish per portion,3000-6000,N/A,"Black sand beach,Fresh fish,Charcoal grill",,UNCONFIRMED_ALL,Informal fish-shed vendors - dossier estimate kept
FINI Hotel Bobende,Limbe,Bobende,Hotel,Room (from),31000-41000,~4000 (approx EUR6/person),"Pool,Restaurant,WiFi,Ocean view",+237 693 38 54 26,VERIFIED_PHONE,Phone verified via HotelsCombined listing; price converted from ~$52-68 USD
Seme Beach Hotel,"Limbe (Idenau Road, Mile 11)",N/A,Resort & Spa,Room (from),35000-95000,N/A,"Pool,Private beach,Tennis,Spa",+237 671 86 46 88,VERIFIED_PHONE,"Official phone via Facebook page + semebeach.com; price range from aggregators, consistent with dossier estimate"
